"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;2017;Gewinnung;;192269.004884931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2475;3031.529380684932;15824.3369144025;7133.693976;23968.030776;115337.43875015937;9055.58301068424;0;0;0;17918.144577;05.03.2020
Baden-Württemberg;2017;Bezüge;;1403733.10389238;170450.4833;0;1606.85986;0;0;935.42827905;4742.65817;635963.071056534;0;0;28934.9347739281;11321.556769993;17863.6727156845;0.000000000000682121026;0.000000000000483169060;-0.00000000000033484326;0;0;0;0;277780.162286113;0;0;0;0;0;11165.9827573877;0;42299.6357418694;200668.658181818;0;0;05.03.2020
Baden-Württemberg;2017;Bestandsentnahmen;;6880.72988259833;0;0;13.84028;0;0;0;0;0;0;0;0.998499389281569;0;73.63969;247.7908;19.33041;2.76175;0;0;0;0;6315.90273259833;0;0;0;0;0;17.53650061071843;0;0;0;0;188.92922000000002;05.03.2020
Baden-Württemberg;2017;Energieaufkommen;;1602882.83865991;170450.4833;0;1620.70014;0;0;935.42827905;4742.65817;635963.071056534;0;0;28935.9332733174;11321.556769993;17937.3124056845;247.790800000001;19.3304100000005;2.76174999999967;0;0;0;0;284096.065018711;0.2475;3031.529380684932;15824.3369144025;7133.693976;23968.030776;126520.95800815786;9055.58301068424;42299.6357418694;200668.658181818;0;18107.073797;05.03.2020
Baden-Württemberg;2017;Lieferungen;;169064.443510985;0;0;0;0;0;0;0;0;5456.91094745819;112600.210315218;0;0;0;15251.210681688;9690.57766;4503.35775575094;21562.17615087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;Bestandsaufstockungen;;7905.544412;7812.62952;0;0;0;0;0;34.52739;0;0;0;0;0;0;0;0;0;0.08565;0;0;0;0;0;0;0;0;0;58.17274;0;0;0;0;0.129112;05.03.2020
Baden-Württemberg;2017;Primärenergieverbrauch;;1425912.85073692;162637.85378;0;1620.70014;0;0;935.42827905;4708.13078;635963.071056534;-5456.91094745819;-112600.210315218;28935.9332733174;11321.556769993;17937.3124056845;-15003.419881688;-9671.24725;-4500.59600575094;-21562.26180087;0;0;0;284096.065018711;0.2475;3031.529380684932;15824.3369144025;7133.693976;23968.030776;126462.78526815787;9055.58301068424;42299.6357418694;200668.658181818;0;18106.944685000002;05.03.2020
Baden-Württemberg;2017;"Umw-Einsatz: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Einsatz: Steinkohlen- und Braunkohlenbrikettfabriken";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.03.2020
Baden-Württemberg;2017;"Umw-Einsatz: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";LAK2);140466.49308;128849.02907;0;0;0;0;0;0;0;0;0;0;0;985.40462;850.0043;0;0;0;0;0;0;1026.53996;0;43.19775;0;0;0;6259.3904;0;0;0;0;2452.92698;05.03.2020
Baden-Württemberg;2017;"Umw-Einsatz: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";;65944.79159;29685.7636;0;0;0;0;0;0;0;0;0;0;0;90.41445;56.82241;0;0;0;0;0;0;13387.52859;0;105.85096;0;0;0;15477.958395;0;0;0;0;7140.453185;05.03.2020
